"","dp02_0001e","dp02_0001pe","dp02_0002e","dp02_0004e","dp02_0008e","dp02_0013e","dp02_0017e","dp02_0017pe","dp02_0018e","dp02_0019e","dp02_0019pe","dp02_0024e","dp02_0024pe","dp02_0026e","dp02_0030e","dp02_0030pe","dp02_0031e","dp02_0032e","dp02_0058e","dp02_0058pe","dp02_0062e","dp02_0064e","dp02_0066e","dp02_0067e","dp02_0068e","dp02_0068pe","dp02_0070e","dp02_0070pe","dp02_0074e","dp02_0074pe","dp02_0078e","dp02_0078pe","dp02_0079e","dp02_0086e","dp02_0086pe","dp02_0087e","dp02_0088e","dp02_0089e","dp02_0094e","dp02_0102e","dp02_0110e","dp02_0110pe","dp02_0122e","dp02_0122pe","dp02_0150e","dp02_0150pe","dp02_0151e","dp02_0152e","dp03_0001e","dp03_0001pe","dp03_0002e","dp03_0003e","dp03_0004e","dp03_0007e","dp03_0008e","dp03_0008pe","dp03_0010e","dp03_0010pe","dp03_0011e","dp03_0012e","dp03_0013e","dp03_0018e","dp03_0018pe","dp03_0019e","dp03_0026e","dp03_0026pe","dp03_0027e","dp03_0029e","dp03_0032e","dp03_0032pe","dp03_0046e","dp03_0046pe","dp03_0047e","dp03_0051e","dp03_0051pe","dp03_0056e","dp03_0064e","dp03_0074e","dp03_0075e","dp03_0075pe","dp03_0095e","dp03_0095pe","dp03_0096e","dp03_0097e","dp03_0098e","dp03_0102e","dp03_0102pe","dp03_0103e","dp03_0103pe","dp03_0104e","dp03_0104pe","dp03_0105e","dp03_0106e","dp03_0116e","dp04_0001e","dp04_0001pe","dp04_0002e","dp04_0006e","dp04_0006pe","dp04_0016e","dp04_0016pe","dp04_0027e","dp04_0027pe","dp04_0031e","dp04_0038e","dp04_0038pe","dp04_0041e","dp04_0045e","dp04_0045pe","dp04_0047e","dp04_0050e","dp04_0050pe","dp04_0054e","dp04_0057e","dp04_0057pe","dp04_0058e","dp04_0058pe","dp04_0059e","dp04_0060e","dp04_0062e","dp04_0062pe","dp04_0063e","dp04_0072e","dp04_0072pe","dp04_0076e","dp04_0076pe","dp04_0077e","dp04_0126e","dp04_0126pe","dp04_0136e","dp04_0136pe","dp04_0142e","dp05_0001e","dp05_0001pe","dp05_0002e","dp05_0003e","dp05_0010e","dp05_0011e","dp05_0012e","dp05_0013e","dp05_0014e","dp05_0020e","dp05_0021e","dp05_0022e","dp05_0023e","dp05_0025e","dp05_0025pe","dp05_0026e","dp05_0027e","dp05_0033e","dp05_0033pe","dp05_0034e","dp05_0036e","dp05_0063e","dp05_0063pe","dp05_0070e","dp05_0070pe","dp05_0076e","tract_code","geoid","executed_day","executed_month","executed_year","borough"
"1",772,772,559,427,82,258,2249,2249,772,435,19.3,884,884,462,867,867,249,448,1453,1453,270,178,1322,426,1626,1626,2248,2248,1401,1401,2223,2223,2140,2254,2254,2120,2111,2027,134,134,2068,2068,2254,2254,772,772,734,675,1686,1686,1117,1111,1071,569,1111,1111,828,828,516,516,495,1053,1053,619,1071,1071,406,197,1071,1071,1071,1071,674,772,772,60,651,41,559,559,2248,2248,2152,1873,461,1368,1368,1088,1088,1049,1049,973,932,230,996,996,772,996,996,996,996,996,996,136,996,996,344,772,772,172,772,772,190,772,772,71,9.2,298,333,772,772,52,772,772,772,772,755,166,166,166,166,77,2254,2254,1214,1040,195,247,396,239,151,1686,1632,1534,313,1632,1632,810,822,2254,2254,2162,2162,2254,2254,2254,2254,2019,107201,36081107201,18,"May",18,"QUEENS"
"2",1424,1424,1125,960,151,466,4264,4264,1424,967,22.7,1780,1780,1206,1836,1836,366,1083,3187,3187,331,775,2601,1184,3495,3495,4264,4264,2691,2691,4234,4234,3822,4264,4264,2507,2471,2320,1272,1604,4023,4023,4264,4264,1424,1424,1289,1233,3572,3572,2206,2206,2115,1366,2206,2206,1819,1819,990,990,924,2060,2060,1125,2115,2115,974,521,2115,2115,2115,2115,1813,1424,1424,133,1121,82,1125,1125,4264,4264,3971,3132,1392,2666,2666,2060,2060,1975,1975,1780,1580,371,1598,1598,1424,1598,1598,1598,1598,1598,1598,255,1598,1598,473,1424,1424,400,1424,1424,381,1424,1424,130,9.1,496,615,1424,1424,1067,1424,1424,1424,1424,1398,311,311,311,311,114,4264,4264,2170,2094,469,607,778,216,313,3572,3495,3419,1008,3495,3495,1717,1778,4264,4264,4178,4178,4264,4264,4264,4264,3730,103300,36081103300,26,"Jul",17,"QUEENS"
"3",1424,1424,1125,960,151,466,4264,4264,1424,967,22.7,1780,1780,1206,1836,1836,366,1083,3187,3187,331,775,2601,1184,3495,3495,4264,4264,2691,2691,4234,4234,3822,4264,4264,2507,2471,2320,1272,1604,4023,4023,4264,4264,1424,1424,1289,1233,3572,3572,2206,2206,2115,1366,2206,2206,1819,1819,990,990,924,2060,2060,1125,2115,2115,974,521,2115,2115,2115,2115,1813,1424,1424,133,1121,82,1125,1125,4264,4264,3971,3132,1392,2666,2666,2060,2060,1975,1975,1780,1580,371,1598,1598,1424,1598,1598,1598,1598,1598,1598,255,1598,1598,473,1424,1424,400,1424,1424,381,1424,1424,130,9.1,496,615,1424,1424,1067,1424,1424,1424,1424,1398,311,311,311,311,114,4264,4264,2170,2094,469,607,778,216,313,3572,3495,3419,1008,3495,3495,1717,1778,4264,4264,4178,4178,4264,4264,4264,4264,3730,103300,36081103300,1,"Nov",18,"QUEENS"
"4",1424,1424,1125,960,151,466,4264,4264,1424,967,22.7,1780,1780,1206,1836,1836,366,1083,3187,3187,331,775,2601,1184,3495,3495,4264,4264,2691,2691,4234,4234,3822,4264,4264,2507,2471,2320,1272,1604,4023,4023,4264,4264,1424,1424,1289,1233,3572,3572,2206,2206,2115,1366,2206,2206,1819,1819,990,990,924,2060,2060,1125,2115,2115,974,521,2115,2115,2115,2115,1813,1424,1424,133,1121,82,1125,1125,4264,4264,3971,3132,1392,2666,2666,2060,2060,1975,1975,1780,1580,371,1598,1598,1424,1598,1598,1598,1598,1598,1598,255,1598,1598,473,1424,1424,400,1424,1424,381,1424,1424,130,9.1,496,615,1424,1424,1067,1424,1424,1424,1424,1398,311,311,311,311,114,4264,4264,2170,2094,469,607,778,216,313,3572,3495,3419,1008,3495,3495,1717,1778,4264,4264,4178,4178,4264,4264,4264,4264,3730,103300,36081103300,26,"Jul",17,"QUEENS"
"5",1349,1349,1027,799,191,452,3788,3788,1349,817,21.6,1509,1509,889,1753,1753,503,879,2873,2873,298,517,2352,846,3107,3107,3793,3793,2084,2084,3940,3940,3667,3966,3966,2686,2595,2455,997,1247,3831,3831,3966,3966,1349,1349,1145,1145,3198,3198,1607,1607,1562,1591,1607,1607,1735,1735,859,859,831,1514,1514,724,1562,1562,665,576,1562,1562,1562,1562,1243,1349,1349,93,921,158,1027,1027,3793,3793,3612,2883,1301,2057,2057,1535,1535,1496,1496,1425,1333,263,1378,1378,1349,1378,1378,1378,1378,1378,1378,314,1378,1378,427,1349,1349,410,1349,1349,367,1349,1349,208,15.4,556,498,1349,1349,899,1349,1349,1349,1349,1321,370,370,370,370,188,3966,3966,1741,2225,362,473,547,280,211,3198,3107,3061,1132,3107,3107,1416,1691,3966,3966,3892,3892,3966,3966,3966,3966,3410,102900,36081102900,10,"May",17,"QUEENS"
"6",1349,1349,1027,799,191,452,3788,3788,1349,817,21.6,1509,1509,889,1753,1753,503,879,2873,2873,298,517,2352,846,3107,3107,3793,3793,2084,2084,3940,3940,3667,3966,3966,2686,2595,2455,997,1247,3831,3831,3966,3966,1349,1349,1145,1145,3198,3198,1607,1607,1562,1591,1607,1607,1735,1735,859,859,831,1514,1514,724,1562,1562,665,576,1562,1562,1562,1562,1243,1349,1349,93,921,158,1027,1027,3793,3793,3612,2883,1301,2057,2057,1535,1535,1496,1496,1425,1333,263,1378,1378,1349,1378,1378,1378,1378,1378,1378,314,1378,1378,427,1349,1349,410,1349,1349,367,1349,1349,208,15.4,556,498,1349,1349,899,1349,1349,1349,1349,1321,370,370,370,370,188,3966,3966,1741,2225,362,473,547,280,211,3198,3107,3061,1132,3107,3107,1416,1691,3966,3966,3892,3892,3966,3966,3966,3966,3410,102900,36081102900,5,"Dec",19,"QUEENS"
"7",1349,1349,1027,799,191,452,3788,3788,1349,817,21.6,1509,1509,889,1753,1753,503,879,2873,2873,298,517,2352,846,3107,3107,3793,3793,2084,2084,3940,3940,3667,3966,3966,2686,2595,2455,997,1247,3831,3831,3966,3966,1349,1349,1145,1145,3198,3198,1607,1607,1562,1591,1607,1607,1735,1735,859,859,831,1514,1514,724,1562,1562,665,576,1562,1562,1562,1562,1243,1349,1349,93,921,158,1027,1027,3793,3793,3612,2883,1301,2057,2057,1535,1535,1496,1496,1425,1333,263,1378,1378,1349,1378,1378,1378,1378,1378,1378,314,1378,1378,427,1349,1349,410,1349,1349,367,1349,1349,208,15.4,556,498,1349,1349,899,1349,1349,1349,1349,1321,370,370,370,370,188,3966,3966,1741,2225,362,473,547,280,211,3198,3107,3061,1132,3107,3107,1416,1691,3966,3966,3892,3892,3966,3966,3966,3966,3410,102900,36081102900,10,"May",18,"QUEENS"
"8",978,978,722,624,63,330,2987,2987,978,632,21.2,1294,1294,748,1301,1301,353,763,2232,2232,268,246,1718,360,2448,2448,2987,2987,2154,2154,2905,2905,2781,2987,2987,877,816,800,989,1788,2873,2873,2987,2987,978,978,824,772,2526,2526,1443,1443,1408,1083,1443,1443,1255,1255,610,610,610,1394,1394,418,1408,1408,264,297,1408,1408,1408,1408,1098,978,978,182,774,109,722,722,2987,2987,2277,1518,881,2135,2135,1384,1384,1354,1354,977,803,316,1038,1038,978,1038,1038,1038,1038,1038,1038,467,1038,1038,428,978,978,720,978,978,290,978,978,307,31.4,410,251,978,978,829,978,978,978,978,880,653,653,605,605,388,2987,2987,1489,1498,514,490,597,191,146,2526,2448,2370,364,2448,2448,1204,1244,2987,2987,2931,2931,2987,2987,2987,2987,2180,119100,36081119100,22,"May",18,"QUEENS"
"9",978,978,722,624,63,330,2987,2987,978,632,21.2,1294,1294,748,1301,1301,353,763,2232,2232,268,246,1718,360,2448,2448,2987,2987,2154,2154,2905,2905,2781,2987,2987,877,816,800,989,1788,2873,2873,2987,2987,978,978,824,772,2526,2526,1443,1443,1408,1083,1443,1443,1255,1255,610,610,610,1394,1394,418,1408,1408,264,297,1408,1408,1408,1408,1098,978,978,182,774,109,722,722,2987,2987,2277,1518,881,2135,2135,1384,1384,1354,1354,977,803,316,1038,1038,978,1038,1038,1038,1038,1038,1038,467,1038,1038,428,978,978,720,978,978,290,978,978,307,31.4,410,251,978,978,829,978,978,978,978,880,653,653,605,605,388,2987,2987,1489,1498,514,490,597,191,146,2526,2448,2370,364,2448,2448,1204,1244,2987,2987,2931,2931,2987,2987,2987,2987,2180,119100,36081119100,9,"Jan",19,"QUEENS"
"10",978,978,722,624,63,330,2987,2987,978,632,21.2,1294,1294,748,1301,1301,353,763,2232,2232,268,246,1718,360,2448,2448,2987,2987,2154,2154,2905,2905,2781,2987,2987,877,816,800,989,1788,2873,2873,2987,2987,978,978,824,772,2526,2526,1443,1443,1408,1083,1443,1443,1255,1255,610,610,610,1394,1394,418,1408,1408,264,297,1408,1408,1408,1408,1098,978,978,182,774,109,722,722,2987,2987,2277,1518,881,2135,2135,1384,1384,1354,1354,977,803,316,1038,1038,978,1038,1038,1038,1038,1038,1038,467,1038,1038,428,978,978,720,978,978,290,978,978,307,31.4,410,251,978,978,829,978,978,978,978,880,653,653,605,605,388,2987,2987,1489,1498,514,490,597,191,146,2526,2448,2370,364,2448,2448,1204,1244,2987,2987,2931,2931,2987,2987,2987,2987,2180,119100,36081119100,16,"Aug",17,"QUEENS"
