census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,county_GEOID,county,state
12057010103,1454,283,1171,672,831,63611,153500,1226,92.1,1.6,11.8,0.0,2.0,0.0,0.0,4.3,-888888888,383,57,92,3033,104,523,1711,0,95,801,19.463548830811554,80.53645116918845,46.217331499312245,34.3191196698762,31,7.900000000000006,11.81026137463698,17.181818172,5.727272724,,,,,5.090909088,8.0,0.636363636,5.090909088,8.0,0.636363636,6.999999996,11.0,0.636363636,,,,,,,,,,,,,,,2.023771280565371,,0.855967552873807,,,,12057,Hillsborough County,Florida
12057011006,1861,244,1617,1072,1349,66815,194200,1423,93.0,1.4,8.9,0.0,1.0,0.0,3.4,1.2,-888888888,569,60,222,3598,65,622,2227,7,173,197,13.111230521225147,86.88876947877485,57.60343901128425,29.285330467490596,37,7.0,9.018718094157686,18.36,6.12,27.0,9.0,6.0,2.0,7.0200000000000005,13.0,0.54,7.0200000000000005,13.0,0.54,4.32,8.0,0.54,10.0,7.0,10.0,1.0,3.0,2.0,0.8395522388059702,0.9328358208955223,0.6529850746268656,0.9328358208955223,0.12368583797155226,0.06184291898577613,0.1855287569573284,0.12368583797155226,2.5081967213114753,1.3075599864204568,1.0608585220496414,1.148936170212766,0.40476190476190477,0.7460794157584697,12057,Hillsborough County,Florida
12057011108,681,41,640,262,497,49821,146000,1379,91.0,1.9,16.4,0.0,3.4,0.0,0.0,3.7,-888888888,79,14,205,1208,143,371,570,0,76,357,6.020558002936858,93.97944199706313,38.47283406754772,55.50660792951542,44,9.0,14.095371669004209,4.800000000000001,1.6000000000000003,3.0,1.5,,,1.2000000000000002,3.0,0.4,1.6,4.0,0.4,2.0,5.0,0.4,0.0,2.0,1.0,,,,0.5725190839694656,0.0,0.7633587786259541,0.38167938931297707,,,,,3.9024390243902447,0.8916694054979195,1.6505625976732827,1.0231023102310233,0.5161290322580645,0.6643672587459298,12057,Hillsborough County,Florida
12057011203,1403,552,851,578,967,72716,235400,1484,81.3,10.3,21.7,0.0,0.6,2.9,1.3,3.6,-888888888,392,102,76,2683,267,808,1579,0,230,0,39.34426229508197,60.65573770491803,41.19743406985032,19.45830363506771,44,18.700000000000003,10.713294476824869,25.253968241000003,8.417989413666668,3.0,1.5,8.0,4.0,6.460317457,11.0,0.587301587,5.87301587,10.0,0.587301587,12.920634914,22.0,0.587301587,2.0,0.0,1.0,5.0,3.0,0.0,0.25951557093425603,0.34602076124567477,0.0,0.17301038062283738,0.4700352526439483,0.5875440658049353,0.35252643948296125,0.0,1.5249980821859905,0.40418232567552753,0.6450081039697936,0.87769817820059,0.848759669179214,0.5699468438554808,12057,Hillsborough County,Florida
12057011206,1263,676,587,343,750,33329,132500,1168,78.9,15.5,16.2,0.0,1.6,0.0,1.7,2.3,-888888888,205,70,190,2057,282,744,823,90,148,361,53.52335708630246,46.476642913697546,27.157561361836898,19.31908155186065,46,21.099999999999994,21.570121951219512,50.076923085000004,16.692307695,6.0,2.0,3.0,1.0,14.30769231,30.0,0.47692307700000003,14.30769231,30.0,0.47692307700000003,21.461538465,45.0,0.47692307700000003,3.0,2.0,1.0,1.0,1.0,1.0,0.5830903790087464,0.8746355685131195,0.5830903790087464,0.2915451895043732,0.17035775127768313,0.17035775127768313,0.17035775127768313,0.17035775127768313,2.4692762862426036,0.9081336607986586,1.0443968646071171,1.8343775951913641,0.8930041152417484,1.1911813728062515,12057,Hillsborough County,Florida
12057011407,1126,374,752,443,1244,68906,250000,1556,97.1,0.0,17.2,0.0,1.1,0.0,0.9,1.0,-888888888,125,18,245,1803,15,349,1074,18,123,0,33.214920071047956,66.78507992895204,39.34280639431616,27.44227353463588,39,2.9000000000000057,9.423849933005807,19.190476188999998,6.396825396333333,8.0,2.6666666666666665,5.0,1.6666666666666667,6.809523808999999,11.0,0.6190476189999999,3.0952380949999996,5.0,0.6190476189999999,9.285714285,15.0,0.6190476189999999,1.0,6.0,1.0,3.0,1.0,1.0,0.601956358164033,0.2257336343115124,1.3544018058690745,0.2257336343115124,0.22163120567375888,0.39893617021276595,0.13297872340425532,0.13297872340425532,1.7103811220142602,0.9375164654746121,0.7234170963643202,1.1093625536107712,0.7057793344849022,0.7203816776949197,12057,Hillsborough County,Florida
12057011412,1427,880,547,338,1154,46458,153600,1295,87.1,3.9,29.1,0.0,2.9,0.0,1.1,5.1,-888888888,328,80,174,2373,178,1090,1401,0,100,324,61.66783461807989,38.33216538192011,23.68605466012614,14.646110721793972,28,12.900000000000006,17.04745166959578,25.81720428,8.605734759999999,9.0,3.0,3.0,1.5,11.06451612,21.0,0.52688172,6.84946236,13.0,0.52688172,7.9032257999999995,15.0,0.52688172,4.0,3.0,2.0,0.0,1.0,2.0,0.8875739644970414,1.183431952662722,0.8875739644970414,0.591715976331361,0.2742230347349177,0.0,0.18281535648994515,0.3656307129798903,0.9779244045454544,1.3823513860381949,0.4136196454080023,0.9528517865353038,0.7415071029936238,0.6187489981023269,12057,Hillsborough County,Florida
12057011507,3041,1486,1555,1207,1108,67039,304700,1986,83.5,5.8,18.5,0.0,4.7,0.0,4.3,1.6,-888888888,913,166,349,5258,490,1579,3255,11,421,146,48.865504768168364,51.134495231831636,39.69089115422558,11.44360407760605,22,16.5,7.502374169040836,15.130434779999998,5.04347826,,,,,4.623188405,11.0,0.420289855,3.36231884,8.0,0.420289855,7.144927535,17.0,0.420289855,,,,,,,,,,,,,,,0.33939961372812916,,0.14355132894662995,,,,12057,Hillsborough County,Florida
12057011509,2069,124,1945,1571,2642,100512,340700,2219,92.0,4.5,9.8,0.0,2.1,0.0,0.0,1.4,-888888888,878,60,151,4084,229,1161,2196,0,246,15,5.993233446109231,94.00676655389077,75.93040115998066,18.076365393910102,24,8.0,6.655236907730673,8.4,2.8000000000000003,18.0,6.0,18.0,6.0,2.0,5.0,0.4,2.4000000000000004,6.0,0.4,4.0,10.0,0.4,5.0,7.0,6.0,8.0,8.0,2.0,0.3819223424570337,0.31826861871419476,0.4455760661998727,0.3819223424570337,0.30848329048843187,0.4113110539845758,0.4113110539845758,0.10282776349614395,2.2580645161290325,0.594824657518663,0.9550634385730487,0.5191740412979351,0.3181818181818182,0.337133668040755,12057,Hillsborough County,Florida
12057011516,1209,382,827,544,1122,62196,189800,1550,88.8,2.5,15.8,0.6,2.6,0.0,2.6,3.0,-888888888,282,35,183,2080,195,633,1212,0,129,0,31.59636062861869,68.4036393713813,44.995864350703066,23.407775020678244,35,11.200000000000003,16.462775253407898,23.243243263000004,7.747747754333335,4.0,2.0,2.0,2.0,5.945945951000001,11.0,0.540540541,5.945945951000001,11.0,0.540540541,11.351351361,21.0,0.540540541,3.0,0.0,1.0,0.0,2.0,0.0,0.3676470588235294,0.5514705882352942,0.0,0.1838235294117647,0.24183796856106407,0.0,0.24183796856106407,0.0,2.0282062184118677,0.5725916280403306,0.857843339397743,1.0526725436645072,0.7948243993992452,0.6835691457226535,12057,Hillsborough County,Florida
