census_tract_GEOID,total-households,total-renter-occupied-households,total-owner-occupied-households,total-owner-occupied-households-mortgage,median-gross-rent,median-household-income,median-property-value,median-monthly-housing-cost,pct-white,pct-af-am,pct-hispanic,pct-am-indian,pct-asian,pct-nh-pi,pct-multiple,pct-other,pct-below-poverty-level,households-children,single-parent-household,older-adult-alone,level-of-education,immigrant-status,english-fluency,drive-to-work,public-transport-to-work,vacant-properties,live-in-mobile-home,pct-renter-occupied,pct-owner-occupied,pct-owner-occupied-mortgage,pct-owner-occupied-without-mortgage,median-house-age,pct-non-white,pct-without-health-insurance,total-evictions,avg-evictions,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,overall-city-eviction-rate,avg-eviction-rate,ratio-to-mean-eviction-rate,county_GEOID,county,state
36085013204,1790,422,1368,798,1411,84866,493400,2396,95.4,0.0,9.6,0.0,1.3,0.0,0.6,2.7,-888888888,382,27,260,3443,244,1172,1307,672,115,0,23.575418994413408,76.42458100558659,44.58100558659218,31.843575418994412,55,4.599999999999994,2.817208997597729,9.0,3.0,2.0,3.5555555555555554,0.5625,6.0,10.666666666666666,0.5625,1.0,1.7777777777777777,0.5625,0.8445472846855552,0.7109004739336493,0.8417533118922219,36085,Staten Island,New York
36085013800,2369,441,1928,1030,1185,82361,561100,2404,98.8,0.5,6.2,0.0,0.0,0.0,0.7,0.0,-888888888,585,67,313,4553,117,1388,1581,681,92,0,18.615449556775012,81.384550443225,43.47826086956522,37.90628957365978,55,1.2000000000000028,0.7732806844356697,2.0,2.0,0.0,0.0,0.0,2.0,6.000000006,0.333333333,0.0,0.0,0.0,0.8445472846855552,0.45351473922902497,0.5369915307914099,36085,Staten Island,New York
36085014700,1341,241,1100,707,1220,84310,463800,2406,94.9,2.2,4.5,0.0,3.0,0.0,0.0,0.0,-888888888,366,30,155,2492,59,442,1023,435,163,0,17.971662938105894,82.0283370618941,52.72184936614467,29.30648769574944,63,5.099999999999994,4.07624633431085,4.0,2.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,1.6666666666666667,0.6,0.8445472846855552,0.8298755186721992,0.9826276559295095,36085,Staten Island,New York
36085019700,712,99,613,366,1384,98167,449800,2297,95.4,1.0,8.3,0.0,1.3,0.0,0.0,2.4,-888888888,219,18,74,1283,49,158,622,162,18,0,13.904494382022472,86.09550561797754,51.40449438202247,34.69101123595505,82,4.599999999999994,3.532008830022075,1.0,1.0,1.0,1.49999999925,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.8445472846855552,1.0101010101010102,1.1960265913081403,36085,Staten Island,New York
36085020804,1988,179,1809,1270,1175,95417,602200,2820,92.6,0.0,3.4,0.0,4.5,0.0,1.0,2.0,-888888888,535,29,147,4142,79,1027,1754,556,67,8,9.004024144869216,90.99597585513078,63.883299798792756,27.11267605633803,42,7.400000000000006,2.9406736194221237,6.0,2.0,2.0,4.3999999956,0.454545455,3.0,6.5999999934,0.454545455,1.0,2.1999999978,0.454545455,0.8445472846855552,1.1173184357541899,1.3229791345196187,36085,Staten Island,New York
36085023900,1015,392,623,582,1000,60240,351500,2299,49.7,21.8,45.4,1.0,6.4,0.0,0.0,21.2,-888888888,446,117,51,2112,548,1836,852,727,149,0,38.62068965517241,61.37931034482759,57.33990147783251,4.039408866995074,65,50.3,11.702127659574469,20.0,6.666666666666667,5.0,7.105263154903047,0.703703704,5.0,7.105263154903047,0.703703704,10.0,14.210526309806093,0.703703704,0.8445472846855552,1.7006802721088436,2.0137182404677874,36085,Staten Island,New York
36085024800,1678,425,1253,1023,1179,75625,548700,2560,98.6,0.0,3.1,0.5,0.6,0.0,0.0,0.2,-888888888,694,113,148,3176,57,475,1395,464,116,0,25.32777115613826,74.67222884386175,60.96543504171633,13.706793802145413,64,1.4000000000000057,6.692836113837094,16.0,5.333333333333333,3.0,4.6875,0.64,9.0,14.0625,0.64,4.0,6.25,0.64,0.8445472846855552,1.2549019607843137,1.4858871534369367,36085,Staten Island,New York
36085002100,1454,884,570,405,1288,52895,346900,2207,42.3,36.2,31.3,0.0,5.9,0.0,4.6,10.9,-888888888,472,207,123,2799,787,1482,481,1024,234,9,60.79779917469052,39.20220082530949,27.854195323246216,11.348005502063273,82,57.7,10.898483080513419,77.0,25.666666666666668,28.0,52.00000004457143,0.538461538,18.0,33.42857145722449,0.538461538,31.0,57.571428620775514,0.538461538,0.8445472846855552,2.903469079939668,3.437899964382335,36085,Staten Island,New York
36085003600,824,264,560,445,1418,65625,362100,2264,65.2,5.7,25.8,1.1,15.3,0.0,2.4,10.3,-888888888,306,25,62,1719,414,1298,550,530,103,3,32.038834951456316,67.96116504854369,54.004854368932044,13.95631067961165,51,34.8,13.982232522209348,10.0,3.3333333333333335,3.0,6.999999993,0.428571429,2.0,4.666666662,0.428571429,5.0,11.666666655,0.428571429,0.8445472846855552,1.2626262626262625,1.4950332391351753,36085,Staten Island,New York
36085011202,1880,386,1494,970,1245,76014,351400,2203,86.7,1.2,12.4,0.0,11.5,0.0,0.0,0.6,-888888888,600,77,185,3951,799,2425,1261,578,262,0,20.53191489361702,79.46808510638299,51.59574468085106,27.872340425531917,50,13.299999999999997,9.512066232164877,11.0,3.6666666666666665,4.0,5.999999997,0.666666667,3.0,4.49999999775,0.666666667,4.0,5.999999997,0.666666667,0.8445472846855552,0.9499136442141624,1.1247607581472925,36085,Staten Island,New York
