,total-evictions,avg-evictions,total-foreclosure-sales,avg-foreclosure-sales,total-lien-foreclosures,avg-lien-foreclosures,total-evictions-2017,eviction-filings-2017,eviction-rate-2017,total-evictions-2018,eviction-filings-2018,eviction-rate-2018,total-evictions-2019,eviction-filings-2019,eviction-rate-2019,foreclosure-sales-2017,foreclosure-sales-2018,foreclosure-sales-2019,lien-foreclosures-2017,lien-foreclosures-2018,lien-foreclosures-2019,avg-foreclosure-rate,foreclosure-rate-2017,foreclosure-rate-2018,foreclosure-rate-2019,avg-lien-foreclosure-rate,lien-foreclosure-rate-2017,lien-foreclosure-rate-2018,lien-foreclosure-rate-2019,avg-eviction-rate,ratio-to-mean-foreclosure-rate,ratio-to-mean-eviction-rate,avg-housing-loss-rate,evictions-pct-total-housing-loss,housing-loss-index,locale
total-households,0.2987224040507818,0.2981201063825796,0.33830254126348636,0.3295999424951861,0.4135812905723952,0.41063997961564064,0.3033798201412194,0.321002855441143,0.003471236484550074,0.2760195855015259,0.29414203751063334,-0.04312087495494811,0.2986536808668997,0.31548873887578177,-0.022782743081449692,0.33871463588284995,0.26169627126260653,0.3277396268155161,0.42151388988481553,0.3295284513467826,0.39105409333317004,-0.1802346184955811,-0.11414482685463553,-0.17668174326672376,-0.15335236366445096,-0.1373784617464924,-0.04933152137536744,0.01102029730716879,0.1282151704442311,-0.22089913339029268,-0.18023461849558103,-0.2208991333902929,-0.22313281392865308,-0.028584520827972096,-0.22313281392865347,hb
total-renter-occupied-households,0.7055304930586614,0.7051517903131989,-0.0018955874070790775,0.0007595236238941624,0.044399226061103504,0.05319074791724586,0.6931578607920156,0.7104075883759574,0.11624387396424664,0.6844354418447439,0.7011103092878543,0.11824432951017289,0.6984662574227885,0.7099526834889922,0.09942777230773847,0.029933740950145046,-0.045062678130449466,0.0031458297720735433,0.03170082101818447,0.008916607846343003,0.08201733614655037,0.10944149421590178,0.12220034270619061,0.021145857373231203,0.07793369511614943,0.13797949261322878,0.09875883582560288,0.09503183418530863,0.17889311704783442,-0.015893082643208805,0.10944149421590177,-0.015893082643208777,0.27313230977047737,0.5694946762874942,0.2731323097704774,hb
total-owner-occupied-households,-0.2474147251986293,-0.24783130545449608,0.4049878753850342,0.39241018405729533,0.43536227466983307,0.4244882343507796,-0.23077441250217917,-0.2239956226581527,-0.0976307573951229,-0.2571357301011619,-0.24923197515196802,-0.15730272459656708,-0.2413048252253824,-0.2304511414782257,-0.11551876275302497,0.3791050392849362,0.3494057342479026,0.38821447670842285,0.45528464564976046,0.3694796881313207,0.37745662766700716,-0.3056100196567231,-0.2373717954811337,-0.22821024638555398,-0.24744579088713753,-0.27734889930316037,-0.1419557784959432,-0.06908422761317962,-0.005996794284285341,-0.26065635348234556,-0.30561001965672285,-0.2606563534823457,-0.4924016363274232,-0.5059779567340355,-0.49240163632742306,hb
total-owner-occupied-households-mortgage,-0.22041213444426877,-0.22124560888999625,0.4698308290350104,0.4573128562134328,0.5278903831843085,0.5188548085474097,-0.20748563428371736,-0.1984821234358965,-0.0679110253326507,-0.2356298367087277,-0.2261433175280641,-0.13741797534475048,-0.2088114771547578,-0.19556675477616148,-0.10433962191532503,0.4452383434973995,0.3967642912459221,0.4521934568432483,0.5360996115847148,0.4577129379495219,0.46250723680705136,-0.26549133459713403,-0.19943878574960394,-0.19777778323125744,-0.2105971667110668,-0.1708960655828986,-0.05095393419748245,0.017910295547545675,0.09306549195982484,-0.2400607844985474,-0.26549133459713475,-0.24006078449854726,-0.45563412428127426,-0.4793259882901184,-0.4556341242812741,hb
households-children,0.18507537335207025,0.1841140142894604,0.3926071991443587,0.38049955201958857,0.567989867185425,0.5687274136511106,0.2027834673223079,0.207143978933835,0.05125992589931012,0.15617004565435255,0.15937221016273356,-0.008389901627450054,0.18518325432865798,0.18974300488886103,-0.0023055514861855856,0.37094794468062714,0.26745912661229326,0.4334787182145868,0.5504708830113839,0.5053469515945256,0.5089075436901535,-0.17324161799150872,-0.12078081981337668,-0.1827615872063221,-0.12217567018673488,0.042323405459923386,0.09684284411535724,0.19168253833200619,0.21937825444272646,-0.11328698782020453,-0.1732416179915087,-0.11328698782020456,-0.1486497550605249,-0.09332427961207146,-0.14864975506052497,hb
single-parent-household,0.625237816787045,0.6247288164137793,0.15222836810625323,0.14531203054378528,0.2246267697711679,0.2294173617589995,0.635794824545293,0.6438111514938767,0.1380172258580045,0.5794025125718183,0.5808471863266613,0.10557815475571523,0.6232819110358427,0.625012813785924,0.10943383415271904,0.1762317286869014,0.08737960639236571,0.14929606524456562,0.21258202289143072,0.20103572999540767,0.20481031814003364,0.0008626323054025683,0.043693629333081824,-0.053755709174112744,0.01565113411416957,0.09849875871455975,0.1052278021145623,0.14337158714733933,0.1502427816071765,0.14988262573415484,0.000862632305402582,0.14988262573415484,0.3124663591936735,0.4057820866702173,0.312466359193673,hb
older-adult-alone,-0.07410208005082071,-0.07239334791094848,-0.06611203521526961,-0.05929568461338017,-0.09032369788228257,-0.10047484643228491,-0.06050452899757581,-0.06635665367084775,-0.22898023237675388,-0.08578951128682712,-0.08736852741892784,-0.09574068612636431,-0.07207345146342824,-0.07472205999311031,-0.11401054578478545,-0.0446090831396925,-0.05812657905849368,-0.07986388243317492,-0.06069488949180887,-0.09236957153545071,-0.09354192448567136,-0.0736646199018716,-0.07531724296818787,-0.07474793465907525,-0.08226831131917571,-0.21826815611866995,-0.14165019782232116,-0.14944186250260313,-0.1644099707783191,-0.23651871482934123,-0.07366461990187158,-0.23651871482934078,-0.20352392976300138,-0.09103190418286948,-0.2035239297630015,hb
level-of-education,0.16144866867983973,0.1606688302475373,0.42996185937207787,0.4178499161101583,0.48188835798266866,0.47888521376931614,0.1695394664273566,0.18020644457379997,0.017764938444260747,0.13857893726011092,0.1497995625103125,-0.04185470718311094,0.1651341163553759,0.17612263932748423,-0.01668031946556405,0.4143978911209866,0.3489839218007622,0.41882251972357837,0.49759622621253075,0.38768997577859327,0.44573977882524823,-0.21973137831723297,-0.14969364194858673,-0.2008649676138453,-0.1819992109645585,-0.11506265332983978,-0.00816222751109513,0.0023844786782393455,0.09961821559583399,-0.19334688779758177,-0.21973137831723313,-0.19334688779758183,-0.27472566447364083,-0.18078797293199275,-0.2747256644736405,hb
immigrant-status,0.32861151216950596,0.3279828269832477,0.12662873930886287,0.12563686371734134,0.14137347869431494,0.1555475087049917,0.320482503881551,0.3184701221448061,0.1173966689583628,0.31110964141852193,0.30953173386366584,0.07506001422260612,0.33263383843195027,0.3294590321193874,0.0787661303224852,0.11727916608203635,0.10250078574744213,0.1283889947841087,0.1841591438070414,0.08409034483008329,0.12584250227526636,-0.00421056301956346,0.0034136313878679876,-0.03658351575173056,-0.014468704557025433,0.05949765086247114,0.06444891249871988,0.06803250699129687,0.03785230214958672,-0.043463306231962866,-0.004210563019563431,-0.04346330623196287,0.09417728126830638,0.2173660710177923,0.0941772812683064,hb
english-fluency,0.2949197753754111,0.29409662432934225,0.2827035875157436,0.27676041985256233,0.33818109481317205,0.34910776404625493,0.29282209856535035,0.2947601321489724,0.1393577035706099,0.2691050942122864,0.26956993551859826,0.07864314993476713,0.3021635679871492,0.30254709746151187,0.09522003105426045,0.2832346811868145,0.2349234191039811,0.25988401472410283,0.3400138181529325,0.2720051623763423,0.32145951841303744,-0.0475726601173036,-0.019185752222984045,-0.06370957376890302,-0.04358048152664381,0.08458422298429705,0.09981145289480355,0.1214069313682101,0.14290187787050368,-0.06112615143691216,-0.04757266011730364,-0.06112615143691215,0.033085767448580744,0.12878629104292125,0.03308576744858071,hb
