GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,Rate_2014,Rate_2015,Rate_2016,eviction-rate
12057000101,84,114,87,285,47,54,45,146,0.55952381,0.473684211,0.517241379,0.512280702
12057000102,149,164,159,472,80,101,98,279,0.536912752,0.615853659,0.616352201,0.591101695
12057000201,167,128,174,469,69,78,95,242,0.413173653,0.609375,0.545977011,0.515991471
12057000202,185,207,252,644,107,120,143,370,0.578378378,0.579710145,0.567460317,0.574534161
12057000300,205,230,222,657,87,119,128,334,0.424390244,0.517391304,0.576576577,0.508371385
12057000401,50,75,73,198,22,47,32,101,0.44,0.626666667,0.438356164,0.51010101
12057000402,16,23,29,68,6,17,16,39,0.375,0.739130435,0.551724138,0.573529412
12057000500,13,11,19,43,3,6,8,17,0.230769231,0.545454545,0.421052632,0.395348837
12057000601,70,103,104,277,45,53,60,158,0.642857143,0.514563107,0.576923077,0.570397112
12057000602,49,60,41,150,17,33,20,70,0.346938776,0.55,0.487804878,0.466666667
12057000700,277,330,300,907,127,188,164,479,0.458483755,0.56969697,0.546666667,0.528114664
12057000800,108,110,100,318,61,56,52,169,0.564814815,0.509090909,0.52,0.531446541
12057000901,80,84,94,258,42,42,55,139,0.525,0.5,0.585106383,0.53875969
12057000902,295,346,260,901,149,191,146,486,0.505084746,0.552023121,0.561538462,0.539400666
12057001001,167,148,122,437,71,76,58,205,0.425149701,0.513513514,0.475409836,0.469107551
12057001002,59,125,104,288,32,68,53,153,0.542372881,0.544,0.509615385,0.53125
12057001100,18,28,18,64,8,16,8,32,0.444444444,0.571428571,0.444444444,0.5
12057001200,31,41,33,105,15,18,12,45,0.483870968,0.43902439,0.363636364,0.428571429
12057001300,20,33,35,88,9,17,18,44,0.45,0.515151515,0.514285714,0.5
12057001400,43,51,52,146,31,27,29,87,0.720930233,0.529411765,0.557692308,0.595890411
12057001500,9,17,13,39,3,7,8,18,0.333333333,0.411764706,0.615384615,0.461538462
12057001600,8,16,17,41,5,9,12,26,0.625,0.5625,0.705882353,0.634146341
12057001700,28,41,38,107,16,23,21,60,0.571428571,0.56097561,0.552631579,0.560747664
12057001800,88,125,131,344,43,68,72,183,0.488636364,0.544,0.549618321,0.531976744
12057001900,53,53,65,171,25,26,32,83,0.471698113,0.490566038,0.492307692,0.485380117
12057002000,49,45,76,170,24,22,40,86,0.489795918,0.488888889,0.526315789,0.505882353
12057002100,52,58,36,146,20,33,18,71,0.384615385,0.568965517,0.5,0.48630137
12057002200,12,25,22,59,8,17,10,35,0.666666667,0.68,0.454545455,0.593220339
12057002300,21,36,17,74,17,16,7,40,0.80952381,0.444444444,0.411764706,0.540540541
12057002400,52,51,61,164,33,28,42,103,0.634615385,0.549019608,0.68852459,0.62804878
12057002500,159,179,132,470,82,94,76,252,0.51572327,0.525139665,0.575757576,0.536170213
