parent-location,GEOID,2014_Filings,2015_Filings,2016_Filings,Total_Filings,2014_Evictions,2015_Evictions,2016_Evictions,Total_Evictions,eviction-rate
"Bronx County, New York",36005027600,,,2,2,,,0,0,0.26547737
"Kings County, New York",36047056800,2,7,6,15,0,0,0,0,0.26547737
"Kings County, New York",36047061200,0,4,3,7,0,0,0,0,0.26547737
"Kings County, New York",36047066000,0,2,1,3,0,0,0,0,0.26547737
"Kings County, New York",36047066600,0,0,1,1,0,0,0,0,0.26547737
"Kings County, New York",36047075200,1,1,0,2,0,0,0,0,0.26547737
"Kings County, New York",36047096000,2,3,1,6,0,0,0,0,0.26547737
"Kings County, New York",36047053900,134,132,67,333,1,1,3,5,0.015015015
"Kings County, New York",36047051700,14,12,9,35,1,0,0,1,0.028571429
"Kings County, New York",36047000700,17,19,26,62,0,2,0,2,0.032258065
"Kings County, New York",36047041401,10,10,9,29,0,1,0,1,0.034482759
"Kings County, New York",36047052800,37,24,46,107,1,1,2,4,0.037383178
"Kings County, New York",36047047400,11,20,18,49,0,2,0,2,0.040816327
"Kings County, New York",36047003800,15,18,14,47,2,0,0,2,0.042553191
"Kings County, New York",36047047000,4,5,13,22,1,0,0,1,0.045454545
"Kings County, New York",36047105801,995,803,1025,2823,47,31,51,129,0.045696068
"Kings County, New York",36047061002,22,29,36,87,1,0,3,4,0.045977011
"Kings County, New York",36047105804,921,744,900,2565,30,43,55,128,0.049902534
"Kings County, New York",36047000501,10,8,16,34,2,0,0,2,0.058823529
"Kings County, New York",36047054800,17,21,13,51,1,1,1,3,0.058823529
"Kings County, New York",36047004600,6,1,7,14,0,0,1,1,0.071428571
"Kings County, New York",36047054300,8,20,28,56,0,3,1,4,0.071428571
"Kings County, New York",36047054700,46,68,47,161,6,2,4,12,0.074534161
"Kings County, New York",36047035602,76,92,100,268,6,8,6,20,0.074626866
"Kings County, New York",36047029200,60,57,66,183,7,3,4,14,0.076502732
"Kings County, New York",36047032500,576,604,609,1789,44,51,43,138,0.077138066
"Kings County, New York",36047013900,28,33,54,115,1,3,5,9,0.07826087
"Kings County, New York",36047060800,108,101,139,348,10,9,9,28,0.08045977
"Kings County, New York",36047060600,20,27,27,74,0,3,3,6,0.081081081
"Kings County, New York",36047056000,23,42,58,123,2,4,4,10,0.081300813
"Kings County, New York",36047018100,33,36,38,107,4,5,0,9,0.08411215
"Kings County, New York",36047052700,175,124,126,425,13,15,8,36,0.084705882
"Kings County, New York",36047043800,51,48,52,151,7,3,3,13,0.086092715
"Kings County, New York",36047075800,9,22,15,46,0,2,2,4,0.086956522
"Kings County, New York",36047052600,114,101,78,293,13,7,6,26,0.088737201
"Kings County, New York",36047001100,21,23,34,78,3,4,0,7,0.08974359
"Kings County, New York",36047046202,3,3,5,11,0,0,1,1,0.090909091
"Kings County, New York",36047056400,5,3,3,11,0,1,0,1,0.090909091
"Kings County, New York",36047077200,108,98,101,307,11,11,6,28,0.091205212
"Kings County, New York",36047003600,48,53,59,160,6,8,1,15,0.09375
"Kings County, New York",36047035000,43,30,55,128,4,5,3,12,0.09375
"Kings County, New York",36047051300,54,74,74,202,5,8,6,19,0.094059406
"Kings County, New York",36047094401,78,38,139,255,8,5,11,24,0.094117647
"Kings County, New York",36047052300,133,111,132,376,12,6,18,36,0.095744681
"Kings County, New York",36047021500,96,76,114,286,13,4,12,29,0.101398601
"Kings County, New York",36047091800,103,188,172,463,10,20,17,47,0.101511879
"Kings County, New York",36047053800,103,64,104,271,15,7,6,28,0.103321033
"Kings County, New York",36047059402,46,25,45,116,5,4,3,12,0.103448276
"Kings County, New York",36047035400,58,40,37,135,4,5,5,14,0.103703704
"Kings County, New York",36047048200,104,96,117,317,16,10,7,33,0.104100946
"Kings County, New York",36047029400,15,16,17,48,3,2,0,5,0.104166667
"Kings County, New York",36047028600,90,113,161,364,10,14,14,38,0.104395604
"Kings County, New York",36047005601,25,36,25,86,4,4,1,9,0.104651163
"Kings County, New York",36047088000,46,108,131,285,4,11,15,30,0.105263158
"Kings County, New York",36047076200,109,102,98,309,10,14,9,33,0.106796117
"Kings County, New York",36047152200,18,22,25,65,3,2,2,7,0.107692308
"Kings County, New York",36047001800,24,20,30,74,5,2,1,8,0.108108108
"Kings County, New York",36047006900,10,8,19,37,1,2,1,4,0.108108108
"Kings County, New York",36047019700,45,42,61,148,5,1,10,16,0.108108108
"Kings County, New York",36047043000,78,70,92,240,16,4,6,26,0.108333333
